Category,Descript,DayOfWeek,PdDistrict,Resolution
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,BAYVIEW,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,PARK,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,TARAVAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,BAYVIEW,NONE
ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Wednesday,SOUTHERN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,SOUTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,TENDERLOIN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,INGLESIDE,NONE
OTHER OFFENSES,OPERATING TAXI WITHOUT A PERMIT,Saturday,TARAVAL,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,MISSION,"ARREST, CITED"
WARRANTS,WARRANT ARREST,Wednesday,TARAVAL,NONE
LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Thursday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN TRUCK,Wednesday,INGLESIDE,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Wednesday,NORTHERN,NONE
MISSING PERSON,FOUND PERSON,Friday,CENTRAL,LOCATED
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,CENTRAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN TRUCK,Friday,PARK,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,RICHMOND,NONE
VEHICLE THEFT,STOLEN TRUCK,Sunday,SOUTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,MISSION,NONE
VEHICLE THEFT,STOLEN TRUCK,Monday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,CENTRAL,NONE
VEHICLE THEFT,STOLEN MOTORCYCLE,Tuesday,CENTRAL,NONE
VEHICLE THEFT,STOLEN TRUCK,Tuesday,CENTRAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,CENTRAL,UNFOUNDED
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,BAYVIEW,UNFOUNDED
MISSING PERSON,MISSING ADULT,Tuesday,SOUTHERN,LOCATED
MISSING PERSON,FOUND PERSON,Tuesday,SOUTHERN,LOCATED
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,NORTHERN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,MISSION,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,PARK,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,CENTRAL,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,BAYVIEW,"ARREST, BOOKED"
ASSAULT,THREATS AGAINST LIFE,Thursday,BAYVIEW,"ARREST, BOOKED"
KIDNAPPING,FALSE IMPRISONMENT,Thursday,BAYVIEW,"ARREST, BOOKED"
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,TARAVAL,NONE
VEHICLE THEFT,STOLEN TRUCK,Wednesday,TARAVAL,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Tuesday,RICHMOND,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Thursday,MISSION,"ARREST, BOOKED"
WEAPON LAWS,DISCHARGE FIREARM WITHIN CITY LIMITS,Thursday,NORTHERN,NONE
SUSPICIOUS OCC,"SUSPICIOUS AUTO, POSSIBLY SEX",Thursday,NORTHERN,NONE
WARRANTS,ENROUTE TO PAROLE OFFICER,Thursday,MISSION,"ARREST, BOOKED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Thursday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Thursday,BAYVIEW,"ARREST, BOOKED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,BAYVIEW,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TARAVAL,PSYCHOPATHIC CASE
DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,SOUTHERN,"ARREST, BOOKED"
FRAUD,FALSE ID TO PEACE OFFICER,Thursday,SOUTHERN,"ARREST, BOOKED"
RUNAWAY,RUNAWAY,Thursday,BAYVIEW,LOCATED
MISSING PERSON,MISSING JUVENILE,Thursday,BAYVIEW,LOCATED
MISSING PERSON,FOUND PERSON,Thursday,BAYVIEW,LOCATED
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,RICHMOND,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,RICHMOND,"ARREST, BOOKED"
DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Thursday,RICHMOND,"ARREST, BOOKED"
MISSING PERSON,FOUND PERSON,Friday,TARAVAL,NONE
VEHICLE THEFT,STOLEN TRUCK,Wednesday,BAYVIEW,NONE
VANDALISM,MALICIOUS MISCHIEF,Thursday,SOUTHERN,NONE
VEHICLE THEFT,STOLEN TRUCK,Thursday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,BAYVIEW,NONE
ASSAULT,BATTERY,Friday,BAYVIEW,UNFOUNDED
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,CENTRAL,PSYCHOPATHIC CASE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,PARK,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,PARK,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Friday,PARK,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Friday,TENDERLOIN,NONE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,PARK,NONE
ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Friday,BAYVIEW,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,TENDERLOIN,NONE
DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Friday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Friday,INGLESIDE,NONE
DRUG/NARCOTIC,TRANSPORTAION OF CONTROLLED SUBSTANCE,Friday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN MOTORCYCLE,Friday,NORTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Friday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Friday,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,SOUTHERN,NONE
FRAUD,"FALSE PRETENSES, GRAND THEFT",Friday,TARAVAL,NONE
ASSAULT,CHILD ABUSE (PHYSICAL),Friday,NORTHERN,NONE
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,TARAVAL,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Friday,MISSION,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,MISSION,NONE
FORGERY/COUNTERFEITING,"FORGERY, NOTES",Friday,CENTRAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,PSYCHOPATHIC CASE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,MISSION,NONE
ROBBERY,ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON,Friday,TENDERLOIN,NONE
ASSAULT,ASSAULT WITH CAUSTIC CHEMICALS,Friday,TENDERLOIN,NONE
ASSAULT,BATTERY,Friday,TARAVAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,TENDERLOIN,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,SOUTHERN,PSYCHOPATHIC CASE
ROBBERY,"ROBBERY, BODILY FORCE",Friday,SOUTHERN,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,TARAVAL,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,SOUTHERN,UNFOUNDED
NON-CRIMINAL,FOUND PROPERTY,Friday,TENDERLOIN,NONE
ASSAULT,BATTERY,Friday,MISSION,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,CENTRAL,PSYCHOPATHIC CASE
MISSING PERSON,MISSING ADULT,Friday,BAYVIEW,NONE
ASSAULT,THREATS AGAINST LIFE,Friday,RICHMOND,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,NORTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,TENDERLOIN,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,CENTRAL,PSYCHOPATHIC CASE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,RICHMOND,NONE
NON-CRIMINAL,SHELTER,Saturday,SOUTHERN,JUVENILE DIVERTED
LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,CENTRAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,TARAVAL,PSYCHOPATHIC CASE
VEHICLE THEFT,STOLEN TRUCK,Saturday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,SOUTHERN,PSYCHOPATHIC CASE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,NORTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,TARAVAL,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,SOUTHERN,NONE
VEHICLE THEFT,STOLEN TRUCK,Friday,PARK,NONE
OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Saturday,BAYVIEW,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,BAYVIEW,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,BAYVIEW,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,SOUTHERN,PSYCHOPATHIC CASE
NON-CRIMINAL,FOUND PROPERTY,Tuesday,PARK,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,BAYVIEW,PSYCHOPATHIC CASE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,CENTRAL,NONE
NON-CRIMINAL,AIDED CASE,Saturday,BAYVIEW,JUVENILE DIVERTED
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Saturday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,MISSION,NONE
RUNAWAY,RUNAWAY,Saturday,PARK,NONE
ASSAULT,CHILD ABUSE (PHYSICAL),Saturday,TENDERLOIN,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,TENDERLOIN,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,TARAVAL,NONE
ASSAULT,BATTERY,Sunday,CENTRAL,NONE
BURGLARY,"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY",Sunday,MISSION,NONE
ASSAULT,THREATS AGAINST LIFE,Sunday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Sunday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Sunday,MISSION,"ARREST, BOOKED"
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,CENTRAL,NONE
DRUG/NARCOTIC,POSSESSION OF HEROIN,Sunday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF OPIATES,Sunday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Sunday,TENDERLOIN,"ARREST, BOOKED"
ASSAULT,THREATS AGAINST LIFE,Sunday,RICHMOND,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Sunday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Sunday,CENTRAL,"ARREST, BOOKED"
VEHICLE THEFT,STOLEN MOTORCYCLE,Saturday,BAYVIEW,NONE
BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Sunday,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Sunday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,TENDERLOIN,"ARREST, BOOKED"
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Sunday,RICHMOND,NONE
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,RICHMOND,NONE
DRUG/NARCOTIC,SALE OF MARIJUANA,Sunday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Sunday,PARK,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Sunday,PARK,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,NORTHERN,PSYCHOPATHIC CASE
ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE,Sunday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Sunday,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,BAYVIEW,NONE
DISORDERLY CONDUCT,"DISTURBING THE PEACE, FIGHTING",Sunday,BAYVIEW,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Sunday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Sunday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Saturday,INGLESIDE,NONE
MISSING PERSON,MISSING ADULT,Sunday,BAYVIEW,NONE
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Sunday,SOUTHERN,"ARREST, BOOKED"
ASSAULT,BATTERY,Sunday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Sunday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,SOUTHERN,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Sunday,BAYVIEW,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,MISSION,"ARREST, BOOKED"
FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Saturday,PARK,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,PARK,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,CENTRAL,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,SOUTHERN,"ARREST, BOOKED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Monday,SOUTHERN,"ARREST, BOOKED"
MISSING PERSON,MISSING JUVENILE,Monday,TENDERLOIN,LOCATED
MISSING PERSON,FOUND PERSON,Monday,TENDERLOIN,LOCATED
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Monday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Monday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, CITED"
ASSAULT,BATTERY,Monday,TENDERLOIN,NONE
DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,Monday,TENDERLOIN,NONE
OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Monday,TENDERLOIN,NONE
BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Saturday,SOUTHERN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,TARAVAL,NONE
WARRANTS,ENROUTE TO PAROLE OFFICER,Monday,NORTHERN,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN",Saturday,RICHMOND,NONE
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Saturday,CENTRAL,NONE
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,CENTRAL,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Saturday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Saturday,INGLESIDE,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,INGLESIDE,NONE
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Monday,INGLESIDE,NONE
VEHICLE THEFT,STOLEN TRUCK,Friday,INGLESIDE,NONE
ASSAULT,BATTERY,Sunday,MISSION,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,NORTHERN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,BAYVIEW,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,CENTRAL,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,SOUTHERN,"ARREST, BOOKED"
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,MISSION,NONE
MISSING PERSON,MISSING JUVENILE,Sunday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,BAYVIEW,NONE
ASSAULT,BATTERY,Friday,RICHMOND,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Friday,MISSION,NONE
ASSAULT,THREATS AGAINST LIFE,Friday,MISSION,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,NORTHERN,NONE
ASSAULT,BATTERY,Monday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Sunday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,NORTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,NORTHERN,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Monday,BAYVIEW,NONE
TRESPASS,TRESPASSING,Monday,CENTRAL,"ARREST, CITED"
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Monday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,NORTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,"ARREST, CITED"
TRESPASS,TRESPASSING,Monday,CENTRAL,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Monday,INGLESIDE,"ARREST, CITED"
NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,INGLESIDE,NONE
WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Monday,NORTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Monday,NORTHERN,NONE
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Monday,MISSION,NONE
BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",Friday,NORTHERN,NONE
OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Monday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Saturday,MISSION,NONE
FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Saturday,MISSION,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,TARAVAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,TARAVAL,PSYCHOPATHIC CASE
OTHER OFFENSES,TRAFFIC VIOLATION,Monday,MISSION,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,TENDERLOIN,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,NORTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,PARK,"ARREST, CITED"
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,TARAVAL,JUVENILE BOOKED
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,BAYVIEW,NONE
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Monday,INGLESIDE,"ARREST, CITED"
OTHER OFFENSES,RECKLESS DRIVING,Monday,INGLESIDE,"ARREST, CITED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,CENTRAL,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, CITED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Monday,PARK,NONE
