Category,Descript,DayOfWeek,PdDistrict,Resolution
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, CITED"
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,RICHMOND,NONE
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Monday,MISSION,"ARREST, CITED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Sunday,CENTRAL,"ARREST, BOOKED"
ASSAULT,BATTERY,Monday,CENTRAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,CENTRAL,NONE
WARRANTS,ENROUTE TO PAROLE OFFICER,Monday,TENDERLOIN,"ARREST, BOOKED"
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,CENTRAL,"ARREST, BOOKED"
ASSAULT,BATTERY,Monday,INGLESIDE,"ARREST, CITED"
DISORDERLY CONDUCT,"DISTURBING THE PEACE, FIGHTING",Monday,INGLESIDE,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,BAYVIEW,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,TENDERLOIN,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Monday,TENDERLOIN,"ARREST, BOOKED"
ASSAULT,BATTERY,Monday,MISSION,"ARREST, CITED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,MISSION,"ARREST, CITED"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN",Monday,BAYVIEW,NONE
NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Monday,TARAVAL,NONE
NON-CRIMINAL,FOUND PROPERTY,Monday,BAYVIEW,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,MISSION,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,PARK,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Monday,PARK,"ARREST, BOOKED"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Saturday,SOUTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,BAYVIEW,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,BAYVIEW,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,BAYVIEW,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Monday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Monday,BAYVIEW,"ARREST, BOOKED"
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Monday,TENDERLOIN,"ARREST, CITED"
NON-CRIMINAL,LOST PROPERTY,Monday,TENDERLOIN,NONE
BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Monday,BAYVIEW,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, CITED"
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Monday,BAYVIEW,NONE
ASSAULT,BATTERY OF A POLICE OFFICER,Thursday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Thursday,MISSION,"ARREST, BOOKED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,MISSION,"ARREST, BOOKED"
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Thursday,PARK,UNFOUNDED
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,TARAVAL,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Friday,SOUTHERN,NONE
SUSPICIOUS OCC,UNUSUAL OCCURENCE,Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,RICHMOND,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,RICHMOND,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,RICHMOND,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,SOUTHERN,NONE
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Friday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,RICHMOND,NONE
ASSAULT,ASSAULT,Friday,CENTRAL,NONE
NON-CRIMINAL,AIDED CASE,Friday,RICHMOND,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,SOUTHERN,NONE
ASSAULT,BATTERY,Friday,NORTHERN,NONE
ASSAULT,BATTERY,Friday,SOUTHERN,NONE
NON-CRIMINAL,AIDED CASE,Friday,RICHMOND,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Friday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Friday,BAYVIEW,NONE
MISSING PERSON,MISSING JUVENILE,Thursday,INGLESIDE,NONE
ASSAULT,BATTERY,Friday,SOUTHERN,NONE
OTHER OFFENSES,INTOXICATED JUVENILE,Friday,INGLESIDE,NONE
NON-CRIMINAL,AIDED CASE,Friday,INGLESIDE,NONE
MISSING PERSON,MISSING JUVENILE,Friday,BAYVIEW,LOCATED
MISSING PERSON,FOUND PERSON,Friday,BAYVIEW,LOCATED
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE
MISSING PERSON,MISSING JUVENILE,Friday,INGLESIDE,LOCATED
MISSING PERSON,FOUND PERSON,Friday,INGLESIDE,LOCATED
MISSING PERSON,MISSING JUVENILE,Friday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Friday,INGLESIDE,NONE
NON-CRIMINAL,AIDED CASE,Saturday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,RICHMOND,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Saturday,RICHMOND,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Saturday,NORTHERN,NONE
ASSAULT,BATTERY,Friday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,RICHMOND,NONE
MISSING PERSON,MISSING JUVENILE,Friday,INGLESIDE,NONE
MISSING PERSON,FOUND PERSON,Friday,INGLESIDE,NONE
ASSAULT,BATTERY,Saturday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Friday,INGLESIDE,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,INGLESIDE,NONE
NON-CRIMINAL,FOUND PROPERTY,Saturday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,RICHMOND,NONE
NON-CRIMINAL,AIDED CASE,Saturday,TARAVAL,NONE
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Saturday,TARAVAL,NONE
NON-CRIMINAL,FOUND PROPERTY,Saturday,PARK,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE
VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE,Saturday,PARK,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE
ROBBERY,ROBBERY ON THE STREET WITH A GUN,Saturday,CENTRAL,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Saturday,SOUTHERN,NONE
MISSING PERSON,MISSING JUVENILE,Sunday,BAYVIEW,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,SOUTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Sunday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Sunday,CENTRAL,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,MISSION,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT PURSESNATCH,Sunday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,BAYVIEW,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,MISSION,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,PARK,NONE
NON-CRIMINAL,AIDED CASE,Sunday,INGLESIDE,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,PARK,NONE
NON-CRIMINAL,AIDED CASE,Sunday,CENTRAL,NONE
BURGLARY,"BURGLARY, FORCIBLE ENTRY",Sunday,TARAVAL,NONE
SUSPICIOUS OCC,UNUSUAL OCCURENCE,Sunday,CENTRAL,NONE
MISSING PERSON,FOUND PERSON,Sunday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,BAYVIEW,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,MISSION,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Saturday,TARAVAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,CENTRAL,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,SOUTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,SOUTHERN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Saturday,RICHMOND,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,CENTRAL,NONE
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Saturday,PARK,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Sunday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,SOUTHERN,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,INGLESIDE,"ARREST, BOOKED"
ASSAULT,BATTERY,Sunday,TARAVAL,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,RICHMOND,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,CENTRAL,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,INGLESIDE,"ARREST, BOOKED"
FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,INGLESIDE,NONE
OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE,Monday,RICHMOND,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,PARK,NONE
NON-CRIMINAL,FOUND PROPERTY,Monday,MISSION,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,TARAVAL,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Monday,SOUTHERN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,CENTRAL,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,INGLESIDE,NONE
ASSAULT,BATTERY,Sunday,INGLESIDE,JUVENILE CITED
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,INGLESIDE,JUVENILE CITED
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,CENTRAL,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Sunday,TARAVAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,SOUTHERN,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Saturday,PARK,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Sunday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT BICYCLE,Thursday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,TARAVAL,NONE
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Sunday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,NONE
MISSING PERSON,MISSING JUVENILE,Sunday,SOUTHERN,NONE
NON-CRIMINAL,FOUND PROPERTY,Monday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,NORTHERN,PSYCHOPATHIC CASE
ASSAULT,INFLICT INJURY ON COHABITEE,Monday,PARK,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,TARAVAL,PSYCHOPATHIC CASE
NON-CRIMINAL,FOUND PROPERTY,Sunday,RICHMOND,NONE
OTHER OFFENSES,RESISTING ARREST,Monday,PARK,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,PARK,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Monday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,FAILURE TO REGISTER AS SEX OFFENDER,Monday,SOUTHERN,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, TIRE SLASHING",Sunday,BAYVIEW,NONE
ASSAULT,THREATS AGAINST LIFE,Sunday,RICHMOND,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,MISSION,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,NORTHERN,"ARREST, BOOKED"
ASSAULT,INFLICT INJURY ON COHABITEE,Monday,NORTHERN,"ARREST, BOOKED"
NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Monday,BAYVIEW,NONE
ASSAULT,BATTERY,Friday,PARK,NONE
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,BAYVIEW,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,TARAVAL,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF COCAINE,Monday,TARAVAL,"ARREST, BOOKED"
TRESPASS,TRESPASSING,Monday,TARAVAL,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,MISSION,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,PARK,NONE
LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Thursday,TARAVAL,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,INGLESIDE,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,PARK,"ARREST, CITED"
VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE,Saturday,INGLESIDE,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,CENTRAL,PSYCHOPATHIC CASE
NON-CRIMINAL,FOUND PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,INGLESIDE,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,NORTHERN,NONE
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Monday,MISSION,NONE
ASSAULT,ASSAULT WITH CAUSTIC CHEMICALS,Monday,MISSION,NONE
ASSAULT,BATTERY,Monday,MISSION,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,BAYVIEW,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,SOUTHERN,NONE
LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",Sunday,CENTRAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,BAYVIEW,NONE
TRESPASS,TRESPASSING,Monday,BAYVIEW,"ARREST, CITED"
TRESPASS,TRESPASSING,Sunday,CENTRAL,NONE
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Monday,CENTRAL,NONE
NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Monday,PARK,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,SOUTHERN,NONE
ASSAULT,BATTERY,Monday,BAYVIEW,JUVENILE ADMONISHED
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,BAYVIEW,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,TARAVAL,PSYCHOPATHIC CASE
WEAPON LAWS,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON,Monday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Monday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Monday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT BICYCLE,Sunday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,SOUTHERN,NONE
BURGLARY,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY",Thursday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,BAYVIEW,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,INGLESIDE,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Monday,INGLESIDE,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,TARAVAL,PSYCHOPATHIC CASE
NON-CRIMINAL,LOST PROPERTY,Friday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Monday,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,CENTRAL,"ARREST, BOOKED"
OTHER OFFENSES,CONSPIRACY,Monday,CENTRAL,"ARREST, BOOKED"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",Monday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Monday,INGLESIDE,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,PARK,NONE
NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Monday,MISSION,"ARREST, BOOKED"
TRESPASS,TRESPASSING,Monday,MISSION,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,NORTHERN,NONE
DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC,Monday,PARK,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,TARAVAL,NONE
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,TARAVAL,NONE
NON-CRIMINAL,AIDED CASE,Monday,SOUTHERN,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,SOUTHERN,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,MISSION,PSYCHOPATHIC CASE
DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,PARK,"ARREST, BOOKED"
BURGLARY,"BURGLARY OF FLAT, FORCIBLE ENTRY",Monday,CENTRAL,NONE
NON-CRIMINAL,COURTESY REPORT,Monday,INGLESIDE,LOCATED
MISSING PERSON,FOUND PERSON,Monday,INGLESIDE,LOCATED
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,PARK,NONE
MISSING PERSON,MISSING ADULT,Monday,RICHMOND,NONE
MISSING PERSON,FOUND PERSON,Monday,RICHMOND,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Monday,PARK,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,CENTRAL,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Monday,BAYVIEW,"ARREST, CITED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,PARK,"ARREST, BOOKED"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Monday,PARK,NONE
LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Monday,SOUTHERN,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,NORTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Sunday,INGLESIDE,NONE
WARRANTS,WARRANT ARREST,Monday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,SOUTHERN,"ARREST, CITED"
NON-CRIMINAL,AIDED CASE,Monday,SOUTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,PARK,"ARREST, BOOKED"
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Monday,PARK,NONE
DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,PARK,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Monday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,BAYVIEW,NONE
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,BAYVIEW,NONE
WARRANTS,WARRANT ARREST,Monday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Monday,INGLESIDE,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Monday,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,CENTRAL,NONE
ASSAULT,BATTERY,Monday,SOUTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,TARAVAL,JUVENILE CITED
NON-CRIMINAL,LOST PROPERTY,Monday,NORTHERN,NONE
DRUG/NARCOTIC,FORGE OR ALTER PRESCRIPTION,Monday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,TENDERLOIN,"ARREST, CITED"
OTHER OFFENSES,BEYOND PARENTAL CONTROL,Monday,CENTRAL,NONE
MISSING PERSON,MISSING JUVENILE,Monday,NORTHERN,NONE
MISSING PERSON,FOUND PERSON,Monday,NORTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,BAYVIEW,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,BAYVIEW,NONE
WARRANTS,WARRANT ARREST,Monday,BAYVIEW,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,BAYVIEW,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Monday,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,TENDERLOIN,LOCATED
NON-CRIMINAL,AIDED CASE,Tuesday,TENDERLOIN,LOCATED
WEAPON LAWS,CARRYING A CONCEALED WEAPON,Monday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,BAYVIEW,NONE
NON-CRIMINAL,AIDED CASE,Monday,PARK,NONE
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Monday,PARK,NONE
ROBBERY,"ROBBERY, ARMED WITH A GUN",Monday,TARAVAL,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Monday,SOUTHERN,NONE
ROBBERY,"ROBBERY, ARMED WITH A GUN",Monday,BAYVIEW,NONE
OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,CENTRAL,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Monday,CENTRAL,"ARREST, BOOKED"
ASSAULT,BATTERY,Monday,PARK,NONE
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Monday,BAYVIEW,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Monday,TENDERLOIN,"ARREST, BOOKED"
