Category,Descript,DayOfWeek,PdDistrict,Resolution
ARSON,ARSON,Wednesday,INGLESIDE,NONE
NON-CRIMINAL,FOUND PROPERTY,Sunday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Monday,INGLESIDE,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Wednesday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,MISSION,NONE
NON-CRIMINAL,AIDED CASE,Wednesday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE
ASSAULT,BATTERY,Thursday,CENTRAL,NONE
ASSAULT,BATTERY,Thursday,MISSION,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Thursday,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,INGLESIDE,"ARREST, BOOKED"
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Thursday,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE
BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Thursday,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,ENROUTE TO PAROLE OFFICER,Thursday,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,AIDED CASE,Thursday,TARAVAL,NONE
NON-CRIMINAL,AIDED CASE,Thursday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,TARAVAL,NONE
NON-CRIMINAL,TARASOFF REPORT,Wednesday,TARAVAL,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,TARAVAL,PSYCHOPATHIC CASE
ASSAULT,BATTERY,Thursday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE
BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",Tuesday,TARAVAL,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Tuesday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,MISSION,NONE
NON-CRIMINAL,AIDED CASE,Thursday,TENDERLOIN,NONE
ASSAULT,BATTERY,Thursday,TENDERLOIN,"ARREST, CITED"
BURGLARY,"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY",Thursday,RICHMOND,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,RICHMOND,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,BAYVIEW,NONE
SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Wednesday,BAYVIEW,NONE
BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,NORTHERN,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Monday,MISSION,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Wednesday,CENTRAL,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,INGLESIDE,"ARREST, BOOKED"
ASSAULT,CHILD ABUSE (PHYSICAL),Thursday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,Thursday,MISSION,NONE
NON-CRIMINAL,FOUND PROPERTY,Thursday,TENDERLOIN,NONE
NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Thursday,TENDERLOIN,NONE
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,CENTRAL,NONE
NON-CRIMINAL,AIDED CASE,Thursday,CENTRAL,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,MISSION,"ARREST, CITED"
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Thursday,TARAVAL,NONE
WARRANTS,ENROUTE TO PAROLE OFFICER,Thursday,INGLESIDE,"ARREST, BOOKED"
FORGERY/COUNTERFEITING,"FORGERY, NOTES",Thursday,BAYVIEW,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Monday,MISSION,NONE
ASSAULT,BATTERY,Thursday,TENDERLOIN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,INGLESIDE,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,CENTRAL,NONE
MISSING PERSON,MISSING ADULT,Thursday,PARK,LOCATED
MISSING PERSON,FOUND PERSON,Thursday,PARK,LOCATED
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,SOUTHERN,"ARREST, BOOKED"
ASSAULT,CHILD ABUSE (PHYSICAL),Wednesday,INGLESIDE,"ARREST, CITED"
NON-CRIMINAL,AIDED CASE,Thursday,TARAVAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TARAVAL,NONE
ASSAULT,BATTERY,Thursday,NORTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Thursday,NORTHERN,NONE
NON-CRIMINAL,AIDED CASE,Thursday,TENDERLOIN,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,INGLESIDE,NONE
ASSAULT,BATTERY,Thursday,CENTRAL,NONE
OTHER OFFENSES,INJURY TO TELEGRAPH/TELEPHONE LINES,Thursday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,MISSION,"ARREST, CITED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,INGLESIDE,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,INGLESIDE,"ARREST, CITED"
BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Thursday,TENDERLOIN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,TENDERLOIN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,RICHMOND,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF COCAINE,Thursday,MISSION,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Thursday,MISSION,NONE
WARRANTS,WARRANT ARREST,Thursday,MISSION,NONE
MISSING PERSON,MISSING ADULT,Thursday,NORTHERN,NONE
MISSING PERSON,FOUND PERSON,Thursday,NORTHERN,NONE
WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED"
TRESPASS,TRESPASSING,Thursday,CENTRAL,"ARREST, BOOKED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,CENTRAL,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Thursday,TARAVAL,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TARAVAL,PSYCHOPATHIC CASE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,INGLESIDE,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,MISSION,"ARREST, CITED"
DISORDERLY CONDUCT,"DISTURBING THE PEACE, FIGHTING",Thursday,MISSION,"ARREST, CITED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,MISSION,"ARREST, CITED"
ASSAULT,THREATS AGAINST LIFE,Thursday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Thursday,INGLESIDE,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, TIRE SLASHING",Thursday,INGLESIDE,"ARREST, BOOKED"
NON-CRIMINAL,AIDED CASE,Thursday,INGLESIDE,NONE
ROBBERY,ROBBERY ON THE STREET WITH A GUN,Thursday,SOUTHERN,JUVENILE ADMONISHED
DRUG/NARCOTIC,POSSESSION OF COCAINE,Friday,RICHMOND,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Friday,RICHMOND,"ARREST, BOOKED"
DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Friday,RICHMOND,"ARREST, BOOKED"
ROBBERY,"ROBBERY, BODILY FORCE",Friday,SOUTHERN,JUVENILE BOOKED
ASSAULT,BATTERY,Friday,SOUTHERN,JUVENILE BOOKED
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,MISSION,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,INGLESIDE,"ARREST, CITED"
DISORDERLY CONDUCT,DISTURBING THE PEACE,Friday,PARK,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,MISSION,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Friday,BAYVIEW,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Friday,TENDERLOIN,"ARREST, BOOKED"
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Friday,MISSION,"ARREST, BOOKED"
MISSING PERSON,MISSING ADULT,Thursday,NORTHERN,PSYCHOPATHIC CASE
MISSING PERSON,FOUND PERSON,Thursday,NORTHERN,PSYCHOPATHIC CASE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,SOUTHERN,"ARREST, CITED"
ASSAULT,INFLICT INJURY ON COHABITEE,Friday,TENDERLOIN,"ARREST, BOOKED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,NORTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,NORTHERN,"ARREST, BOOKED"
OTHER OFFENSES,CONTRIBUTING TO THE DELINQUENCY OF MINOR,Friday,BAYVIEW,NONE
OTHER OFFENSES,RESISTING ARREST,Friday,BAYVIEW,NONE
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,SOUTHERN,"ARREST, CITED"
DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE,Friday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,RESISTING ARREST,Friday,SOUTHERN,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,PARK,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,MISSION,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Friday,BAYVIEW,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,MISSION,"ARREST, BOOKED"
ASSAULT,THREATS AGAINST LIFE,Friday,MISSION,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,SOUTHERN,NONE
MISSING PERSON,MISSING ADULT,Thursday,BAYVIEW,NONE
MISSING PERSON,FOUND PERSON,Thursday,BAYVIEW,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
FORGERY/COUNTERFEITING,"COUNTERFEITING, POSSESSION COINS OR NOTES",Friday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Monday,CENTRAL,NONE
LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Friday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Friday,SOUTHERN,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,SOUTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,SOUTHERN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,TARAVAL,"ARREST, BOOKED"
ASSAULT,THREATS AGAINST LIFE,Thursday,TARAVAL,"ARREST, BOOKED"
KIDNAPPING,"KIDNAPPING, ADULT VICTIM",Thursday,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Friday,TENDERLOIN,"ARREST, CITED"
OTHER OFFENSES,RESISTING ARREST,Saturday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Saturday,SOUTHERN,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,TENDERLOIN,NONE
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,TENDERLOIN,NONE
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,NORTHERN,"ARREST, BOOKED"
OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,NORTHERN,"ARREST, BOOKED"
FRAUD,"FALSE PRETENSES, GRAND THEFT",Thursday,TARAVAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,TENDERLOIN,PSYCHOPATHIC CASE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,TARAVAL,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Thursday,TARAVAL,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,SOUTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Friday,NORTHERN,"ARREST, BOOKED"
ASSAULT,ASSAULT,Wednesday,INGLESIDE,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,INGLESIDE,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,RICHMOND,NONE
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,PARK,"ARREST, CITED"
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,PARK,"ARREST, CITED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Friday,INGLESIDE,"ARREST, BOOKED"
ASSAULT,BATTERY OF A POLICE OFFICER,Friday,CENTRAL,"ARREST, CITED"
OTHER OFFENSES,RESISTING ARREST,Friday,CENTRAL,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,CENTRAL,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Friday,SOUTHERN,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,TENDERLOIN,NONE
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Friday,MISSION,NONE
WARRANTS,WARRANT ARREST,Friday,MISSION,NONE
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Friday,SOUTHERN,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Friday,TARAVAL,"ARREST, BOOKED"
NON-CRIMINAL,AIDED CASE,Friday,TARAVAL,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,TARAVAL,NONE
DRUG/NARCOTIC,POSSESSION OF METHADONE,Friday,TENDERLOIN,"ARREST, BOOKED"
MISSING PERSON,MISSING ADULT,Friday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METHADONE FOR SALES,Friday,TENDERLOIN,"ARREST, BOOKED"
TRESPASS,TRESPASSING,Friday,MISSION,"ARREST, CITED"
LIQUOR LAWS,SALE OF ALCOHOL TO MINOR,Friday,TARAVAL,"ARREST, CITED"
LIQUOR LAWS,SALE OF ALCOHOL TO MINOR,Friday,TARAVAL,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Friday,TENDERLOIN,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,TARAVAL,NONE
LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Friday,SOUTHERN,"ARREST, CITED"
OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Friday,SOUTHERN,"ARREST, CITED"
LIQUOR LAWS,SALE OF ALCOHOL TO MINOR,Friday,TARAVAL,"ARREST, CITED"
MISSING PERSON,MISSING ADULT,Thursday,MISSION,NONE
MISSING PERSON,FOUND PERSON,Thursday,MISSION,NONE
WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,TARAVAL,"ARREST, CITED"
OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Friday,BAYVIEW,NONE
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Friday,BAYVIEW,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,TENDERLOIN,NONE
OTHER OFFENSES,PROBATION VIOLATION,Friday,TENDERLOIN,NONE
WARRANTS,WARRANT ARREST,Friday,TENDERLOIN,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Friday,TENDERLOIN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,RICHMOND,NONE
MISSING PERSON,MISSING ADULT,Friday,PARK,NONE
MISSING PERSON,FOUND PERSON,Friday,PARK,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Friday,INGLESIDE,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Friday,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,TARAVAL,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,SOUTHERN,NONE
ASSAULT,CHILD ABUSE (PHYSICAL),Friday,BAYVIEW,NONE
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,BAYVIEW,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,NORTHERN,"ARREST, CITED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Friday,MISSION,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,TARAVAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,NORTHERN,NONE
ASSAULT,BATTERY OF A POLICE OFFICER,Friday,SOUTHERN,"ARREST, BOOKED"
DISORDERLY CONDUCT,DISTURBING THE PEACE,Friday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,RESISTING ARREST,Friday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,NORTHERN,NONE
NON-CRIMINAL,AIDED CASE,Friday,SOUTHERN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,MISSION,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Saturday,TENDERLOIN,"ARREST, BOOKED"
LARCENY/THEFT,ATTEMPTED PETTY THEFT OF PROPERTY,Friday,PARK,"ARREST, CITED"
TRESPASS,TRESPASSING,Friday,PARK,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE
TRESPASS,TRESPASSING,Friday,SOUTHERN,"ARREST, CITED"
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Friday,PARK,"ARREST, BOOKED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Saturday,NORTHERN,NONE
BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Friday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,PARK,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Monday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,TENDERLOIN,NONE
NON-CRIMINAL,FOUND PROPERTY,Saturday,MISSION,NONE
LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Saturday,SOUTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,SOUTHERN,"ARREST, CITED"
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,PARK,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Saturday,PARK,NONE
ASSAULT,BATTERY,Saturday,BAYVIEW,NONE
NON-CRIMINAL,AIDED CASE,Saturday,CENTRAL,NONE
BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Saturday,CENTRAL,NONE
DRUG/NARCOTIC,POSSESSION OF COCAINE,Saturday,MISSION,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Saturday,MISSION,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,SOUTHERN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,NORTHERN,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,BAYVIEW,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,SOUTHERN,NONE
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Saturday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Friday,NORTHERN,NONE
ASSAULT,BATTERY,Tuesday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,TARAVAL,NONE
BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,NORTHERN,NONE
NON-CRIMINAL,AIDED CASE,Saturday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,NORTHERN,"ARREST, CITED"
OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Saturday,CENTRAL,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,INGLESIDE,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,RICHMOND,"ARREST, BOOKED"
FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,NORTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Saturday,TARAVAL,"ARREST, BOOKED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,TARAVAL,"ARREST, BOOKED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,INGLESIDE,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Thursday,CENTRAL,NONE
NON-CRIMINAL,FOUND PROPERTY,Friday,MISSION,NONE
OTHER OFFENSES,RESISTING ARREST,Saturday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,VIOLATION OF PARK CODE,Saturday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Saturday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Saturday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Saturday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Saturday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,HARASSING PHONE CALLS,Saturday,CENTRAL,NONE
NON-CRIMINAL,FOUND PROPERTY,Saturday,TARAVAL,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,INGLESIDE,NONE
MISSING PERSON,FOUND PERSON,Saturday,INGLESIDE,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,CENTRAL,NONE
ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Saturday,NORTHERN,NONE
SUICIDE,SUICIDE BY STRANGULATION,Saturday,NORTHERN,NONE
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,CENTRAL,NONE
NON-CRIMINAL,FOUND PROPERTY,Saturday,PARK,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,TARAVAL,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,NORTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Saturday,MISSION,NONE
